01/12/2020;14;Boeing;Royal Air Maroc;737NG 7B6/W;3464
01/12/2020;14;Boeing;Titan Airways;737-436(SF);1
01/12/2020;14;Boeing Company;False;BOEING 787-8 Dreamliner;1
01/12/2020;14;Bolkow Apparatebau Gmbh;False;BOLKOW BO 208C JUNIOR Junior;1
01/12/2020;14;Cessna;Air Jetsul;Cessna Citation CJ3;1
01/12/2020;14;Cessna;Air Taxi And Charter International;Cessna 525A Citationjet Cj2;1
01/12/2020;14;Cessna;Cheqair;510 Citation Mustang;1
01/12/2020;14;Cessna;False;152;1
01/12/2020;14;Cessna;False;172R Skyhawk;249
01/12/2020;14;Cessna;False;172S Skyhawk SP;1
01/12/2020;14;Cessna;False;210N Centurion;1
01/12/2020;14;Cessna;False;Citation XLS;1
01/12/2020;14;Cessna Aircraft Company;False;510;314
01/12/2020;14;Dassault;False;Falcon 2000EX EASy;1
01/12/2020;14;Dassault;False;Falcon 900EX EASy;1
01/12/2020;14;Dassault;Masterjet;Falcon 2000;1
01/12/2020;14;Diamond Aircraft;False;Diamond Star DA40D;1624
01/12/2020;14;Diamond Aircraft;False;Twin Star DA42;1
01/12/2020;14;Dornier;False;Do 228 212;1
01/12/2020;14;Embraer;False;EMB-190 LR;6197
01/12/2020;14;Embraer;False;EMB-190 STD;1
01/12/2020;14;Embraer;False;EMB-195 AR;1
01/12/2020;14;Embraer;False;EMB-195 LR;1
01/12/2020;14;Embraer;False;Phenom 300;1
01/12/2020;14;Embraer;Klm Cityhopper;EMB-190 STD;1
01/12/2020;14;Embraer;Klm Cityhopper;ERJ-175STD;739
01/12/2020;14;Embraer;Tap Express;EMB-195 AR;1
01/12/2020;14;Eurocopter;False;EC120B Colibri;171
01/12/2020;14;Eurocopter;False;Squirrel AS.350 B3;1
01/12/2020;14;False;All Nippon Airways;Boeing 777-300(ER);1
01/12/2020;14;False;False;False;640249
01/12/2020;14;False;Klm;Boeing 787-9 Dreamliner;1
01/12/2020;14;Flight Design;False;Flight Design CT 2K;1
01/12/2020;14;Grob;Force Aerienne Francaise;G-120;4953
01/12/2020;14;Gulfstream Aerospace;Executive Airlines;G200;1
01/12/2020;14;Hawker Beechcraft Corp;False;King Air 200GT;1
01/12/2020;14;Jetstream Aircraft Ltd;False;JETSTREAM 4100 Jetstream 41;1
01/12/2020;14;Piaggio;False;P-180 Avanti;1
01/12/2020;14;Piaggio;False;P-180 Avanti II;1
01/12/2020;14;Piper;False;PA-28 161 Warrior II;1
01/12/2020;14;Piper;False;PA-28 181 Archer II;1621
01/12/2020;14;Piper;False;PA-28 181 Archer III;1
01/12/2020;14;Piper;False;PA-28R 200 Cherokee Arrow;1
01/12/2020;14;Piper Aircraft Corporation;False;PIPER PA-28-161 Cherokee Warrior Ii;1
01/12/2020;14;Reims/cessna;False;F150M;1
01/12/2020;14;Reims/cessna;False;F172M;1
01/12/2020;14;Reims/cessna;False;F172P;1
01/12/2020;14;Robin;False;DR.315 Petit Prince;1
01/12/2020;14;Robin;False;DR.400 120 Dauphin 2+2;1
01/12/2020;14;Robin;False;DR.400 120 Petit Prince;1
01/12/2020;14;Robin;False;DR.400 140B Major 80;1
01/12/2020;14;Robin;False;DR.400 160 Chevalier;1
01/12/2020;14;Robin;False;R.2160 D AcrobIn;1
01/12/2020;14;Slingsby Aviation Ltd;False;SLINGSBY T67M MKII Firefly;1
01/12/2020;14;Swearingen;Flightline;Swearingen Metro III;1
01/12/2020;14;Tecnam;False;P.2002 Sierra;1
01/12/2020;15;Agusta-bell;False;AB.206B Jet Ranger II;1
01/12/2020;15;Airbus;British Airways;A350-1041;1
01/12/2020;15;Airbus;False;A319 112;1
01/12/2020;15;Airbus;False;A320 214;1332
01/12/2020;15;Airbus;False;A320 216SL;1
01/12/2020;15;Airbus;False;A320 232SL;274
01/12/2020;15;Airbus;False;Airbus A320 214SL;1
01/12/2020;15;Airbus Industrie;British Airways;A320-251N;1
01/12/2020;15;Airbus Industrie;Vueling Airlines;A319-111;1
01/12/2020;15;Aquila;False;AT-01 A-210;1
01/12/2020;15;Beech;Dassault Aviation;King Air E90;1
01/12/2020;15;Beech;False;Baron 58;329
01/12/2020;15;Beech Aircraft Corporation;False;BEECH 200 Super Kingair;1
01/12/2020;15;Boeing;Asl Airlines France S.a. - France;Boeing 737-48E (SF);1
01/12/2020;15;Boeing;False;737NG 85P/W;1
01/12/2020;15;Boeing;False;737NG 8K2/W;3052
01/12/2020;15;Boeing;False;737NG 958ER/W;1
01/12/2020;15;Boeing;False;747 467F;1
01/12/2020;15;Boeing;False;767 34GER/W;1
01/12/2020;15;Boeing;False;Boeing 737NG 8K2/W;1
01/12/2020;15;Boeing;Nordwind Airlines;777 35EER;1
01/12/2020;15;Boeing;Royal Air Maroc;737NG 7B6/W;1
01/12/2020;15;Boeing;Titan Airways;737-436(SF);1
01/12/2020;15;Boeing Company;False;BOEING 787-8 Dreamliner;1
01/12/2020;15;Cessna;Air Taxi And Charter International;Cessna 525A Citationjet Cj2;1
01/12/2020;15;Cessna;False;172P Skyhawk;1
01/12/2020;15;Cessna;False;172R Skyhawk;1
01/12/2020;15;Cessna;False;172S Skyhawk SP;1
01/12/2020;15;Cessna;False;Cessna Citation CJ2;1
01/12/2020;15;Cessna;False;Citation Mustang;1
01/12/2020;15;Cessna;False;Citation XLS;1
01/12/2020;15;Cessna Aircraft Company;False;510;427
01/12/2020;15;Cessna Aircraft Company;False;CESSNA 560XL Citation Excel;1
01/12/2020;15;Dassault;False;Falcon 2000EX EASy;1
01/12/2020;15;Dassault;Masterjet;Falcon 2000;1
01/12/2020;15;Diamond Aircraft;False;Diamond Star DA40D;896
01/12/2020;15;Diamond Aircraft;False;Twin Star DA42;1
01/12/2020;15;Embraer;False;EMB-190 LR;13624
01/12/2020;15;Embraer;False;EMB-190 STD;1
01/12/2020;15;Embraer;False;EMB-195 AR;1346
01/12/2020;15;Embraer;False;EMB-195 LR;1
01/12/2020;15;Embraer;False;Embraer EMB-190 LR;1
01/12/2020;15;Embraer;False;Phenom 300;1
01/12/2020;15;Embraer;Klm Cityhopper;ERJ-175STD;1
01/12/2020;15;Empresa Brasileira De Aeronautica Sa;False;EMB-145EP;79
01/12/2020;15;Eurocopter;False;EC120B Colibri;305
01/12/2020;15;False;False;False;667053
01/12/2020;15;Flight Design;False;Flight Design CT 2K;1
01/12/2020;15;Grob;Force Aerienne Francaise;G-120;5231
01/12/2020;15;Gulfstream Aerospace;Executive Airlines;G200;1
01/12/2020;15;Ilyushin;False;IL-76 TD;1
01/12/2020;15;Piaggio;False;P-180 Avanti;1
01/12/2020;15;Piaggio;False;P-180 Avanti II;1
01/12/2020;15;Piper;False;PA-28 181 Archer II;269
01/12/2020;15;Piper;False;Piper PA-46 310P Malibu;1
01/12/2020;15;Piper Aircraft Corporation;False;PIPER PA-28-161 Cherokee Warrior Ii;1
01/12/2020;15;Reims/cessna;False;F172M;1
01/12/2020;15;Reims/cessna;False;F172P;1
01/12/2020;15;Robin;False;DR.400 120 Petit Prince;407
01/12/2020;15;Robin;False;DR.400 140B Major 80;1
01/12/2020;15;Robin;False;DR.400 160 Chevalier;1
01/12/2020;15;Robin;False;R.2160 D AcrobIn;1
01/12/2020;15;Robinson;False;R44 Clipper II;1
01/12/2020;15;Swearingen;Flightline;Swearingen Metro III;1
01/12/2020;15;Textron Aviation;False;Textron Aviation Citation Latitude;1
